epoch,rand_init,layer,T,Y
0,1,1,3.558681115705271,0.34997174824441135
0,1,2,2.9615097735137965,0.27360488660189475
0,1,3,1.3301807752117307,0.17875174268937855
1,1,1,3.5595143667230458,0.34927269675367434
1,1,2,2.965220842781135,0.2747381495839969
1,1,3,1.3002610041101956,0.17756011500893143
2,1,1,3.565211013069155,0.34969270044804013
2,1,2,2.9711252914563318,0.27748341056591563
2,1,3,1.265780490350119,0.17436770969364668
3,1,1,3.568860481190425,0.35054734687143707
3,1,2,2.9879238233695915,0.2765979229315443
3,1,3,1.2541031185339557,0.1697373947787173
4,1,1,3.574299132229015,0.35192974821153467
4,1,2,3.0079198555574402,0.2745485062280464
4,1,3,1.2740354926817838,0.15757533749443908
5,1,1,3.581307605964324,0.35183437999470435
5,1,2,3.0374747911778046,0.27606472479521127
5,1,3,1.3132725878018086,0.14259585676901843
6,1,1,3.586527829034111,0.35168717033253394
6,1,2,3.074601131083713,0.27794090226871315
6,1,3,1.3338525099259018,0.1338769267595099
7,1,1,3.5890266901755634,0.3521364772773765
7,1,2,3.0919281446843394,0.2767452308641074
7,1,3,1.3452769486894667,0.12772230829855147
8,1,1,3.6020121551885325,0.3531259821500701
8,1,2,3.1215578831633195,0.27808957537564805
8,1,3,1.3731030139714102,0.12569378908082562
9,1,1,3.6137087002249926,0.35488936399337945
9,1,2,3.1449425528331343,0.2777894783689465
9,1,3,1.4058950985732048,0.12352620731741926
10,1,1,3.6213346495823666,0.3546990448811034
10,1,2,3.188799161746619,0.27963925056605987
10,1,3,1.4347548693669987,0.12129601441636906
11,1,1,3.6283714333040242,0.3577307517071464
11,1,2,3.200568025326195,0.27781238917546514
11,1,3,1.4624314441743902,0.12238940766451822
12,1,1,3.6377767312560305,0.3552236462989553
12,1,2,3.209333333531502,0.2798739793909979
12,1,3,1.494218079413681,0.12293480550298774
13,1,1,3.6432094438728804,0.35228686494482186
13,1,2,3.2076798262915425,0.2818411406653505
13,1,3,1.515945260962635,0.12427882669344692
14,1,1,3.6515081185453084,0.3524622962241777
14,1,2,3.270283244311125,0.29051565531752654
14,1,3,1.5212444552609545,0.12396703560965339
15,1,1,3.6509426745090705,0.3521974515480899
15,1,2,3.2711667181182955,0.2884541452548355
15,1,3,1.526913687751608,0.12408355663921045
16,1,1,3.652156361077224,0.3527556562673766
16,1,2,3.2683363872641404,0.28662266114373924
16,1,3,1.528581612439865,0.12507757135231534
17,1,1,3.6484089467269305,0.352867633706226
17,1,2,3.274418137976344,0.28425419195913015
17,1,3,1.5205293476558888,0.12308707678157838
18,1,1,3.6449613812147605,0.35066776936360444
18,1,2,3.2936699303211725,0.281048590275498
18,1,3,1.5153734852305263,0.12311939501868174
19,1,1,3.645718024409132,0.3425258313863031
19,1,2,3.2748688106302986,0.27827555039696517
19,1,3,1.498679213429499,0.12240844106455251
0,2,1,3.6274678454749267,0.34169795783279344
0,2,2,3.235694669035846,0.27515919578585013
0,2,3,1.4762373034311969,0.12267026226313771
1,2,1,3.6308549082808597,0.3423974107081129
1,2,2,3.2311718427927048,0.27501799096498925
1,2,3,1.469061391621329,0.12298519053865187
2,2,1,3.627673769612956,0.3411919940631245
2,2,2,3.219579110148562,0.27581059941428965
2,2,3,1.4567875213760528,0.12276863640867264
3,2,1,3.624704107716914,0.33880749054118553
3,2,2,3.2042223975076025,0.2737134178532932
3,2,3,1.4415486549120278,0.12428232883699142
4,2,1,3.6160138668120627,0.33773309681829655
4,2,2,3.19577493485426,0.2705538467497277
4,2,3,1.4229306154927785,0.12440401468409634
5,2,1,3.60462478229731,0.3354089416609618
5,2,2,3.1986419514686784,0.2704899042357347
5,2,3,1.4056666388741759,0.1248937154207308
6,2,1,3.597801242589135,0.3321870563171512
6,2,2,3.2001125788406535,0.27251160396024865
6,2,3,1.3931813928959436,0.12520790847443353
7,2,1,3.58457566780711,0.33156030315474627
7,2,2,3.208124683198961,0.2734191691636312
7,2,3,1.380806575082385,0.1275692022645729
8,2,1,3.575469216749033,0.32875118566361117
8,2,2,3.214623264923828,0.27497506884189615
8,2,3,1.3645089231692067,0.129000546884821
9,2,1,3.578672367923197,0.3270952042388142
9,2,2,3.204773237633722,0.2738306914665882
9,2,3,1.3618190267906867,0.13044716488518837
10,2,1,3.5817974785712963,0.3288159373487112
10,2,2,3.1824677958027117,0.27672462480061544
10,2,3,1.3554531804853047,0.1325053144581263
11,2,1,3.592413311280258,0.3258616354778914
11,2,2,3.1816199822021147,0.2792372924437059
11,2,3,1.3485596151939943,0.13552255853736916
12,2,1,3.5973356633777307,0.3269676023931716
12,2,2,3.175513053279695,0.28218654304239976
12,2,3,1.3541123881370325,0.13809309963449934
13,2,1,3.6000991281701094,0.32724768145928884
13,2,2,3.1765279934847843,0.28510539341658525
13,2,3,1.367096277024288,0.14073968257965985
14,2,1,3.6070105301798145,0.32466029662033513
14,2,2,3.175877973351522,0.2869043016147428
14,2,3,1.3811379955959149,0.1437784141283136
15,2,1,3.6135030778924424,0.32530277091662896
15,2,2,3.1810527761507945,0.28960257026757485
15,2,3,1.3971897623925402,0.146331039351268
16,2,1,3.6219402515189714,0.3244868909257299
16,2,2,3.180790583114029,0.2939517778161109
16,2,3,1.4100079698050418,0.14930772413742455
17,2,1,3.6246210310084805,0.32445863189883983
17,2,2,3.1784054589117847,0.2956557889361129
17,2,3,1.4298563189865705,0.15211216829280527
18,2,1,3.6410358900811683,0.32504923902027283
18,2,2,3.1782470427328464,0.29727489188235
18,2,3,1.460436430963747,0.1552354217357732
19,2,1,3.6418664683506794,0.3237139283836825
19,2,2,3.1976091974868384,0.29984501864730095
19,2,3,1.4940619907556787,0.15951919311994
