epoch,rand_init,layer,T,Y
0,1,1,1.7230808718763129,0.6319106979243796
0,1,2,2.568401776413504,0.5656959556172758
1,1,1,0.0,0.0
1,1,2,0.0,0.0
2,1,1,0.0,0.0
2,1,2,0.0,0.0
3,1,1,0.0,0.0
3,1,2,0.0,0.0
4,1,1,0.0,0.0
4,1,2,0.0,0.0
5,1,1,0.0,0.0
5,1,2,0.0,0.0
6,1,1,0.0,0.0
6,1,2,0.0,0.0
7,1,1,0.0,0.0
7,1,2,0.0,0.0
8,1,1,0.0,0.0
8,1,2,0.0,0.0
9,1,1,0.0,0.0
9,1,2,0.0,0.0
10,1,1,0.0,0.0
10,1,2,0.0,0.0
11,1,1,0.0,0.0
11,1,2,0.0,0.0
12,1,1,0.0,0.0
12,1,2,0.0,0.0
13,1,1,0.0,0.0
13,1,2,0.0,0.0
14,1,1,0.0,0.0
14,1,2,0.0,0.0
15,1,1,0.0,0.0
15,1,2,0.0,0.0
16,1,1,0.0,0.0
16,1,2,0.0,0.0
17,1,1,0.0,0.0
17,1,2,0.0,0.0
18,1,1,0.0,0.0
18,1,2,0.0,0.0
19,1,1,0.0,0.0
19,1,2,0.0,0.0
0,2,1,2.198947399238877,0.5751183431678051
0,2,2,0.03723178001792782,0.0023691207047249474
1,2,1,2.198947399238877,0.5751183431678051
1,2,2,0.03723178001792782,0.0023691207047249474
2,2,1,2.198947399238877,0.5751183431678051
2,2,2,0.03723178001792782,0.0023691207047249474
3,2,1,2.198947399238877,0.5751183431678051
3,2,2,0.03723178001792782,0.0023691207047249474
4,2,1,2.198947399238877,0.5751183431678051
4,2,2,0.03723178001792782,0.0023691207047249474
5,2,1,2.198947399238877,0.5751183431678051
5,2,2,0.03723178001792782,0.0023691207047249474
6,2,1,2.198947399238877,0.5751183431678051
6,2,2,0.03723178001792782,0.0023691207047249474
7,2,1,2.198947399238877,0.5751183431678051
7,2,2,0.03723178001792782,0.0023691207047249474
8,2,1,2.198947399238877,0.5751183431678051
8,2,2,0.03723178001792782,0.0023691207047249474
9,2,1,2.198947399238877,0.5751183431678051
9,2,2,0.03723178001792782,0.0023691207047249474
10,2,1,2.198947399238877,0.5751183431678051
10,2,2,0.03723178001792782,0.0023691207047249474
11,2,1,2.198947399238877,0.5751183431678051
11,2,2,0.03723178001792782,0.0023691207047249474
12,2,1,2.198947399238877,0.5751183431678051
12,2,2,0.03723178001792782,0.0023691207047249474
13,2,1,2.198947399238877,0.5751183431678051
13,2,2,0.03723178001792782,0.0023691207047249474
14,2,1,2.198947399238877,0.5751183431678051
14,2,2,0.03723178001792782,0.0023691207047249474
15,2,1,2.198947399238877,0.5751183431678051
15,2,2,0.03723178001792782,0.0023691207047249474
16,2,1,2.198947399238877,0.5751183431678051
16,2,2,0.03723178001792782,0.0023691207047249474
17,2,1,2.198947399238877,0.5751183431678051
17,2,2,0.03723178001792782,0.0023691207047249474
18,2,1,2.198947399238877,0.5751183431678051
18,2,2,0.03723178001792782,0.0023691207047249474
19,2,1,2.198947399238877,0.5751183431678051
19,2,2,0.03723178001792782,0.0023691207047249474
