epoch;rand_init;layer;I(X,T);I(Y,T);accuracy
0;1;1;4.900768508213828;0.8682299342113318;0.6220079660415649
0;1;2;2.0661192596812246;0.20533015415685396;0.6220079660415649
1;1;1;4.896707640432232;0.8640375832368132;0.6232079863548279
1;1;2;2.0871262900045613;0.19648070016979924;0.6232079863548279
2;1;1;4.89484381555621;0.8808134277262614;0.6256679892539978
2;1;2;2.0779827346567457;0.20758182272172299;0.6256679892539978
3;1;1;4.892480279160225;0.8713748813222129;0.6290040016174316
3;1;2;2.019545605472688;0.23354118259608336;0.6290040016174316
4;1;1;4.906573504303547;0.8806005913914463;0.6341760158538818
4;1;2;1.998493144681163;0.22452165921446898;0.6341760158538818
5;1;1;4.914640269868206;0.8893828327998827;0.6443039774894714
5;1;2;1.9355046027765583;0.2082191958026387;0.6443039774894714
6;1;1;4.939538767127889;0.8870129408907843;0.662093997001648
6;1;2;1.8321187203401577;0.22190618295340503;0.662093997001648
7;1;1;4.949238328381034;0.8856423997342038;0.6767380237579346
7;1;2;1.7756765502585026;0.20204703481940767;0.6767380237579346
8;1;1;4.927243568698428;0.8914748361108167;0.6739839911460876
8;1;2;1.7724633638667031;0.19296834288818676;0.6739839911460876
9;1;1;4.923114109971703;0.8930768752288039;0.6577620506286621
9;1;2;1.7760947127322986;0.18676672935767202;0.6577620506286621
10;1;1;4.890218744106078;0.8971709146714595;0.6516079902648926
10;1;2;1.7885237203737292;0.16939853174244002;0.6516079902648926
11;1;1;4.8720312857728025;0.8952576755784545;0.6518160104751587
11;1;2;1.8231823808355392;0.16377854612804166;0.6518160104751587
12;1;1;4.838631144791101;0.8978422456148172;0.6549040079116821
12;1;2;1.868542074981077;0.1627083939719136;0.6549040079116821
13;1;1;4.847436578254094;0.8913923113616695;0.6586920022964478
13;1;2;1.852383382194854;0.16604373485881352;0.6586920022964478
14;1;1;4.833204492817483;0.8764065924164877;0.6622740030288696
14;1;2;1.8702386071825554;0.16935004409437715;0.6622740030288696
15;1;1;4.813586509391872;0.8818444789586222;0.6667239665985107
15;1;2;1.9052410873511807;0.17568080450230594;0.6667239665985107
16;1;1;4.7716740906229855;0.8796321720098659;0.6708799600601196
16;1;2;1.895698390667591;0.17755041144757788;0.6708799600601196
17;1;1;4.775128455085726;0.8841710240771432;0.6757259964942932
17;1;2;1.9020744266791674;0.17755528892325145;0.6757259964942932
18;1;1;4.7772507435469755;0.8678218328881453;0.6816719770431519
18;1;2;1.903050997480702;0.18406513961395854;0.6816719770431519
19;1;1;4.795941377211878;0.8733315528910124;0.6885520219802856
19;1;2;1.9077711966514368;0.18793598791838173;0.6885520219802856
20;1;1;4.808988725145978;0.8648057088066814;0.6955440044403076
20;1;2;1.912196934960403;0.19076283813338568;0.6955440044403076
21;1;1;4.79665069359598;0.8750687045008609;0.7036119699478149
21;1;2;1.9000713719804043;0.19530542010908114;0.7036119699478149
22;1;1;4.789196914589118;0.8770252359445836;0.7144039869308472
22;1;2;1.9235481146510471;0.201055099609468;0.7144039869308472
23;1;1;4.77065405635884;0.8785814761281792;0.7258679866790771
23;1;2;1.9277492765773463;0.2075773456336103;0.7258679866790771
24;1;1;4.716118794850184;0.8842773342873276;0.7384319305419922
24;1;2;1.9391351491470807;0.21888288241370324;0.7384319305419922
25;1;1;4.694336515052272;0.876862559304806;0.753708004951477
25;1;2;1.9354657194724174;0.23015045369059717;0.753708004951477
26;1;1;4.701447293684566;0.8854104631746411;0.7717480659484863
26;1;2;1.9368130444157892;0.24139685496272145;0.7717480659484863
27;1;1;4.716083064038304;0.8783570043406623;0.7902439832687378
27;1;2;1.9387471209381761;0.25165978349462925;0.7902439832687378
28;1;1;4.702689517055149;0.8917593137367721;0.8099559545516968
28;1;2;1.9247899596717488;0.26486487984591944;0.8099559545516968
29;1;1;4.667262336038284;0.8919136805233849;0.829259991645813
29;1;2;1.9014258805867739;0.27372755294405815;0.829259991645813
30;1;1;4.642555447632992;0.8816845390955912;0.8470640182495117
30;1;2;1.9077872515543213;0.29424612361945224;0.8470640182495117
31;1;1;4.586906976497738;0.8727538805237431;0.8632479906082153
31;1;2;1.8919441441287201;0.30412805559138123;0.8632479906082153
32;1;1;4.487900671140991;0.8906708593848887;0.877593994140625
32;1;2;1.9058586013024872;0.33107836901180043;0.877593994140625
33;1;1;4.481693339731793;0.8764530373251871;0.8902519941329956
33;1;2;1.9298454988871097;0.3696877923942825;0.8902519941329956
34;1;1;4.45631586044013;0.8838221221600868;0.9017439484596252
