epoch,rand_init,layer,T,Y
0,1,1,4.550774124567008,0.6240148069084004
0,1,2,0.05254001325613977,0.00794537826280206
0,1,3,0.05254001325614066,0.007945378262802283
1,1,1,4.55056072842513,0.6237180218063347
1,1,2,0.053934696057841514,0.008248904980718175
1,1,3,0.0539346960578424,0.008248904980718619
2,1,1,4.551263077353863,0.623754667341669
2,1,2,0.05498740642401678,0.00845133006233123
2,1,3,0.055024065852789406,0.008451330062331452
3,1,1,4.552179235770125,0.6237023303297198
3,1,2,0.05575204439835346,0.008653814335010557
3,1,3,0.05575204439835346,0.008653814335010557
4,1,1,4.552869458955092,0.6240490439055293
4,1,2,0.05991347671719005,0.00946434405763319
4,1,3,0.05991347671719005,0.009464344057633411
5,1,1,4.5538929557163295,0.6237186981764626
5,1,2,0.06636726861822506,0.010478842344431305
5,1,3,0.06642965832223613,0.010478842344431527
6,1,1,4.5536507374270325,0.6244526221766042
6,1,2,0.07037224111091511,0.011189876726042991
6,1,3,0.070372241110916,0.011189876726042991
7,1,1,4.555300820158017,0.62480980605525
7,1,2,0.07303179898997225,0.011698205939601802
7,1,3,0.07303179898997225,0.011698205939602246
8,1,1,4.555008612566343,0.6244116269147062
8,1,2,0.08060509827239581,0.013225437312262667
8,1,3,0.08060509827239581,0.013225437312262667
9,1,1,4.557091835795175,0.6241394128950573
9,1,2,0.09133330426270891,0.01526700263190972
9,1,3,0.0913333042627098,0.01526700263190972
10,1,1,4.557874437813883,0.6239105195328163
10,1,2,0.09792158927272876,0.016802139479014544
10,1,3,0.09792158927272876,0.016802139479014322
11,1,1,4.557940328875974,0.6233925471156025
11,1,2,0.10881886022529397,0.01885430235418939
11,1,3,0.10881886022529486,0.018854302354189167
12,1,1,4.557386882002129,0.6239576146118901
12,1,2,0.1345445054770913,0.0232871829814576
12,1,3,0.1345445054770904,0.02328718298145782
13,1,1,4.556750899216187,0.6233963823048283
13,1,2,0.15328786818327345,0.0262265393671417
13,1,3,0.15328786818327433,0.026226539367142143
14,1,1,4.558484137179314,0.6246169304308617
14,1,2,0.17641804668364003,0.030289244872778287
14,1,3,0.17641804668364092,0.03028924487277851
15,1,1,4.559517725487858,0.6251915467055573
15,1,2,0.19999134820042208,0.034369804820135075
15,1,3,0.19999134820042208,0.0343698048201353
16,1,1,4.5617756058045575,0.6254883894309877
16,1,2,0.22856203406677,0.03757214140385634
16,1,3,0.2285620340667709,0.03757214140385612
17,1,1,4.562731115991544,0.6254825920530767
17,1,2,0.2551636974561591,0.041508387256245616
17,1,3,0.2551636974561591,0.04150838725624517
18,1,1,4.559609119397344,0.6237230339298083
18,1,2,0.2940946682299108,0.044281859642053334
18,1,3,0.2940946682299108,0.044281859642053334
19,1,1,4.565299442613168,0.6236550042868192
19,1,2,0.3381169247627085,0.04687258241272274
19,1,3,0.3380894176660929,0.04684684046756171
20,1,1,4.569060776979876,0.6235512723105616
20,1,2,0.3918632777285129,0.04729021863617744
20,1,3,0.3918632777285129,0.04729021863617744
21,1,1,4.564870243078698,0.624388615633297
21,1,2,0.45645610749417376,0.048290183150492494
21,1,3,0.45645610749417376,0.048290183150492494
22,1,1,4.571131476965457,0.626305351743107
22,1,2,0.5265842343019287,0.04926176975991203
22,1,3,0.5265842343019269,0.04926176975991203
23,1,1,4.568986005931723,0.6256294538752325
23,1,2,0.6122665333907529,0.051212200713486755
23,1,3,0.6122198337731177,0.051144145392967744
24,1,1,4.568923335351349,0.6254738793696539
24,1,2,0.7072578253031612,0.05188304017654488
24,1,3,0.7072908360703734,0.051858267795002355
25,1,1,4.567751285327326,0.6239249294278535
25,1,2,0.7892318356752952,0.05500274312080622
25,1,3,0.7892318356752952,0.05500274312080666
26,1,1,4.569260245247349,0.623396464935464
26,1,2,0.8699800325700418,0.05473346524815614
26,1,3,0.8699800325700391,0.05473346524815614
27,1,1,4.5647522786712695,0.623460021547567
27,1,2,0.954744117701094,0.056484660762689654
27,1,3,0.9547441177010949,0.056484660762689654
28,1,1,4.563246986673638,0.6253163175061571
28,1,2,1.0175840843709683,0.05893170774690226
28,1,3,1.0169647209498534,0.058905771148044295
29,1,1,4.567376316026001,0.6246086012943062
29,1,2,1.1036843906434743,0.060513111701629096
29,1,3,1.1036843906434726,0.06051311170162954
30,1,1,4.5671755705239265,0.6254968399789345
30,1,2,1.1740874614201307,0.061858452547871146
30,1,3,1.1740874614201298,0.061858452547871146
31,1,1,4.567024810180607,0.6240016205269532
31,1,2,1.2383466784802497,0.06466248528302598
31,1,3,1.238346678480248,0.06466248528302598
32,1,1,4.562629465772119,0.6218434342342549
32,1,2,1.2955007181293867,0.06661751262297466
32,1,3,1.2956229378407063,0.06660892089434745
33,1,1,4.563333526020082,0.6205382926349561
33,1,2,1.349442738468249,0.07057052993019663
33,1,3,1.3490864515941077,0.07057235544527662
34,1,1,4.5647820921802404,0.6207042897603721
34,1,2,1.412024659668667,0.07472080251994839
34,1,3,1.412024659668667,0.07472080251994884
35,1,1,4.566203799908443,0.6209004564921123
35,1,2,1.4611217287048035,0.07429376836430057
35,1,3,1.4611217287048008,0.07429376836430102
36,1,1,4.566272257703217,0.622696128152068
36,1,2,1.4855435796787502,0.07628181211548357
36,1,3,1.4856010171759308,0.07623027537585969
37,1,1,4.568971329498242,0.6239592531472073
37,1,2,1.4909461034847062,0.07643642415296048
37,1,3,1.4909800882091302,0.07639786946396221
38,1,1,4.569792078787874,0.6242960614693303
38,1,2,1.5131952572102056,0.07807549009067971
38,1,3,1.5133888392956223,0.07806953407333328
39,1,1,4.570948585826413,0.6240361927475355
39,1,2,1.5415068535022112,0.08015838012181886
39,1,3,1.5407682835319703,0.08018376976772457
40,1,1,4.5735773504411945,0.6243417294472611
40,1,2,1.5508958441530876,0.08063071260300969
40,1,3,1.5508594829344275,0.0805874482305926
41,1,1,4.575564013014602,0.6267531329847271
41,1,2,1.5690326793456837,0.08339759338897235
41,1,3,1.5687428495863678,0.08345376000333804
42,1,1,4.574563012270918,0.6276264076193279
42,1,2,1.5952815251865005,0.08363775369008764
42,1,3,1.5952815251865005,0.08363775369008764
43,1,1,4.574203864955196,0.6266222137403812
43,1,2,1.627439523833642,0.08589305061854802
43,1,3,1.6261961808395249,0.08584319390494954
44,1,1,4.576667627193489,0.6253951851292276
44,1,2,1.6130931487559828,0.0877835221092349
44,1,3,1.6131358441545744,0.08768192764634186
45,1,1,4.579337723644597,0.6248586097613265
45,1,2,1.617532789542162,0.09073564384476551
45,1,3,1.6170560253860407,0.09066840226144723
46,1,1,4.579438975563738,0.6228125718317914
46,1,2,1.6272255688570132,0.09236314059225359
46,1,3,1.627355643836209,0.09232715573352479
47,1,1,4.581547455585785,0.6244555779867076
47,1,2,1.6391315730669298,0.0956684815612614
47,1,3,1.6394544452564839,0.09566637237874964
48,1,1,4.5856256702847285,0.6257833339106877
48,1,2,1.6553196502646816,0.0973912078355057
48,1,3,1.655787243269252,0.09742458944879395
49,1,1,4.586953683235128,0.6255391172938305
49,1,2,1.6629315067437815,0.10085794724215091
49,1,3,1.6639469467013708,0.10068002328574055
50,1,1,4.591462651848624,0.6275222594449659
50,1,2,1.678066561558337,0.10192627796604103
50,1,3,1.6782005521022976,0.10204684891584526
51,1,1,4.589944463852145,0.6271743413644657
51,1,2,1.6754603635741514,0.1031332197290582
51,1,3,1.6758178055750594,0.10310410695094419
52,1,1,4.589535522711984,0.6274782084707731
52,1,2,1.681570419913946,0.10384191775258067
52,1,3,1.6817798474027583,0.103769742632843
53,1,1,4.589241679023302,0.6284846755510047
53,1,2,1.6879160656299952,0.10402520286102268
53,1,3,1.6881174999980146,0.10400030815173045
54,1,1,4.591386741006581,0.6298491027082607
54,1,2,1.685160735327175,0.10642616395965732
54,1,3,1.6850302006863647,0.10613600417087588
55,1,1,4.591724651801368,0.6289873684792662
55,1,2,1.6808540419119637,0.10665254440753946
55,1,3,1.680873021938691,0.10638128618104759
56,1,1,4.591077410904864,0.6289834261839662
56,1,2,1.672413555863538,0.10630230905343874
56,1,3,1.6723032664554864,0.10624069368969913
57,1,1,4.59393142042939,0.6297629707528918
57,1,2,1.668116707313013,0.10765529585456379
57,1,3,1.66817827483744,0.10773371136087384
58,1,1,4.592850770891166,0.6305332189777282
58,1,2,1.6638985688534689,0.10725702296915074
58,1,3,1.6638407283317216,0.10728193240206085
59,1,1,4.593157117462296,0.6305253386660556
59,1,2,1.6693620092700119,0.10714050189376678
59,1,3,1.6688903428292967,0.10702417681539345
60,1,1,4.593844606093278,0.630645108312117
60,1,2,1.675367571466336,0.10671268605540529
60,1,3,1.6750084622031487,0.10684051880727363
61,1,1,4.597321257515724,0.6317433924377358
61,1,2,1.675539559255344,0.10554379939943193
61,1,3,1.675672170006937,0.10552865903869124
62,1,1,4.60041639181383,0.6310520350366682
62,1,2,1.679948106404674,0.10602954186617453
62,1,3,1.6800082253770947,0.10602635769574764
63,1,1,4.602759232218259,0.6317015672827067
63,1,2,1.6834889739577061,0.10453094271450736
63,1,3,1.6837059655090494,0.10458635480432665
64,1,1,4.603627991352755,0.6325734955872866
64,1,2,1.6818849057457737,0.1031846669296228
64,1,3,1.6821304002188118,0.10323167367510733
65,1,1,4.606814509153242,0.6318804816610637
65,1,2,1.6783809571051682,0.10288476122445456
65,1,3,1.6784563476794112,0.10284152826021442
66,1,1,4.607542099097682,0.6322252961450276
66,1,2,1.6798962324054312,0.10256713932793637
66,1,3,1.6800455496234168,0.10263790073075851
67,1,1,4.607842225723305,0.6335416914849574
67,1,2,1.6819518893368315,0.10252364358657795
67,1,3,1.6821003992227812,0.10262475677776628
68,1,1,4.612162296978102,0.634729103162841
68,1,2,1.6806778743219688,0.10218471181792399
68,1,3,1.6806140678966033,0.10221370703571875
69,1,1,4.61767170067097,0.635382221555453
69,1,2,1.6827730368305307,0.10143615728521782
69,1,3,1.6836919398687584,0.10120190182541577
70,1,1,4.620640406325581,0.6352798811346174
70,1,2,1.6869069385631486,0.10241244092707147
70,1,3,1.6866924857232979,0.1026095569150689
71,1,1,4.620436126341349,0.636349630176146
71,1,2,1.6897818564214564,0.10230491371630235
71,1,3,1.689448119536359,0.10264148175473808
72,1,1,4.620547719746002,0.6363225573841209
72,1,2,1.6886699133588952,0.10281392203184536
72,1,3,1.6889729958352522,0.10223300410425651
73,1,1,4.623160286322227,0.6373439465148696
73,1,2,1.6882372159832153,0.10227888983014832
73,1,3,1.689651803609948,0.10250398456503707
74,1,1,4.626401071004156,0.6403904956167636
74,1,2,1.6909137703124237,0.10293982964500081
74,1,3,1.692024922909705,0.10310887331472163
75,1,1,4.625576455109069,0.6398660960200315
75,1,2,1.6880373206893156,0.10204807273391525
75,1,3,1.6888766255495904,0.10238670541025563
76,1,1,4.627386148223256,0.6401496629428536
76,1,2,1.6818683377417987,0.10102747356608655
76,1,3,1.6835735311352842,0.10127197022257484
77,1,1,4.625378098509419,0.6397151985369991
77,1,2,1.6785050726885764,0.1015581876008178
77,1,3,1.6777274313443815,0.10117789481275485
78,1,1,4.62795697556111,0.6404196372021467
78,1,2,1.678215030940997,0.10143605993758964
78,1,3,1.6768743154037677,0.1013166328576065
79,1,1,4.631676755290068,0.6404027066741653
79,1,2,1.6789761949976398,0.10198629343419663
79,1,3,1.678381529151272,0.10153295807082108
80,1,1,4.633873367893199,0.6416020736171673
80,1,2,1.6775799775783753,0.1021136584829474
80,1,3,1.676452169859032,0.10208977141005393
81,1,1,4.633323749598788,0.6410918351300277
81,1,2,1.6783264834802427,0.10192801017245756
81,1,3,1.6781595409478651,0.10231605935784227
82,1,1,4.634032362366892,0.6430014623525997
82,1,2,1.6778359526991053,0.10269065594862647
82,1,3,1.6766190462285753,0.10226026479126649
83,1,1,4.638025927855667,0.6441462114216048
83,1,2,1.6742703879597434,0.10206546757306523
83,1,3,1.6745250647037722,0.10250963977991034
84,1,1,4.638352444831137,0.6435235449970049
84,1,2,1.6725957328691239,0.10141078000586035
84,1,3,1.671713357035319,0.10136493123994317
85,1,1,4.637977150607225,0.644892898970415
85,1,2,1.6704811827004518,0.10236840138460446
85,1,3,1.669768959475019,0.10168491446956862
86,1,1,4.637862764079464,0.6447990629017948
86,1,2,1.6646072354979928,0.10300288022335824
86,1,3,1.664035139720034,0.10298499657877436
87,1,1,4.6400326355690025,0.6458343519480927
87,1,2,1.6569340259467502,0.10294326397324216
87,1,3,1.6566942159926947,0.10299319131504747
88,1,1,4.6468542351804825,0.6478840399736852
88,1,2,1.651083276925979,0.10281251976163652
88,1,3,1.6505151995791332,0.10323272108734916
89,1,1,4.647267351750618,0.6480697104207831
89,1,2,1.643350538353637,0.10280831148047653
89,1,3,1.6457450185658802,0.10329846056240477
90,1,1,4.650340055017695,0.6489975878463428
90,1,2,1.6343693862056314,0.1029610659905944
90,1,3,1.634511325131423,0.10315598647095747
91,1,1,4.653300531007317,0.6508224654771739
91,1,2,1.6280496826938968,0.10331702379014995
91,1,3,1.628808579204934,0.10303024264607696
92,1,1,4.65489599185324,0.651116879764789
92,1,2,1.6190109663134225,0.10361640557640772
92,1,3,1.618698811274598,0.10375757441582101
93,1,1,4.658036414117663,0.6502834731259304
93,1,2,1.6143100622735318,0.10353654413205149
93,1,3,1.6145011824674391,0.10444919992425383
94,1,1,4.660916452849553,0.6510292205540287
94,1,2,1.6094700667455148,0.10350809606358169
94,1,3,1.609825402112632,0.10428056565446742
95,1,1,4.663776236636634,0.6522628653398543
95,1,2,1.602632844158511,0.10383706332788911
95,1,3,1.601556570635859,0.10428846981069828
96,1,1,4.6663071642295355,0.6538885091489295
96,1,2,1.5969713927169913,0.10412638996948997
96,1,3,1.5964075307412005,0.1045177476268484
97,1,1,4.666708503935537,0.6539648909770284
97,1,2,1.5891203025962835,0.10465330867802258
97,1,3,1.5907874195929983,0.1050125575054559
98,1,1,4.6633736585149945,0.6539407142302567
98,1,2,1.5883210077905368,0.10477135428160267
98,1,3,1.585555650539204,0.10401586366291493
99,1,1,4.66953934455433,0.6544295941768619
99,1,2,1.5808041173832024,0.10491797580227624
99,1,3,1.5791667327137473,0.1052157150167714
0,2,1,4.673134051111338,0.6554395826985102
0,2,2,1.5751075928620821,0.10409384316898729
